ocid,title,url
LLE001-UA-20230802-56634,"ПАВІЛЬЙОН-127",https://prozorro.sale/auction/LLE001-UA-20230802-56634
LLE001-UA-20230803-14640,"ПІДЗЕМНИЙ ПІШОХІДНИЙ ПЕРЕХІД",https://prozorro.sale/auction/LLE001-UA-20230803-14640
LLE001-UA-20230803-77465,"АДМІНІСТРАТИВНЕ",https://prozorro.sale/auction/LLE001-UA-20230803-77465
LLE001-UA-20230814-24435,"ПІДЗЕМНИЙ ПЕРЕХІД І ДОПОМІЖНІ ПРИМІЩЕННЯ (ПІДЗЕМНІ)",https://prozorro.sale/auction/LLE001-UA-20230814-24435
LLE001-UA-20230814-87555,"ПІДЗЕМНИЙ ПЕРЕХІД",https://prozorro.sale/auction/LLE001-UA-20230814-87555
LLE001-UA-20230825-06440,"ТЕАТР",https://prozorro.sale/auction/LLE001-UA-20230825-06440
LLE001-UA-20230831-58786,"ДИСПЕТЧЕРСЬКА СТАНЦІЯ ""МАРШАЛЬСЬКА""",https://prozorro.sale/auction/LLE001-UA-20230831-58786
LLE001-UA-20230831-73670,"БУДІВЛЯ ВАНТАЖНОГО СКЛАДУ",https://prozorro.sale/auction/LLE001-UA-20230831-73670
LLE001-UA-20230831-73670,"БУДІВЛЯ АРХІВУ",https://prozorro.sale/auction/LLE001-UA-20230831-73670
LLE001-UA-20230901-84735,"АДМІНІСТРАТИВНЕ",https://prozorro.sale/auction/LLE001-UA-20230901-84735
LLE001-UA-20230901-84735,"ПРАЛЬНЯ",https://prozorro.sale/auction/LLE001-UA-20230901-84735
LLE001-UA-20230919-76469,"АДМІНІСТРАТИВНЕ",https://prozorro.sale/auction/LLE001-UA-20230919-76469
LLE001-UA-20231004-11057,"ПОЛІКЛІНІКА",https://prozorro.sale/auction/LLE001-UA-20231004-11057
LLE001-UA-20231004-51115,"ГОЛОВНИЙ  КОРПУС ЛІКАРНІ",https://prozorro.sale/auction/LLE001-UA-20231004-51115
LLE001-UA-20231121-08039,"ПІДЗЕМНА СТАНЦІЯ ""ТЕАТРАЛЬНА""",https://prozorro.sale/auction/LLE001-UA-20231121-08039
LLE001-UA-20231130-56204,"ПІДЗЕМНИЙ ПЕРЕХІД І ДОПОМІЖНІ ПРИМІЩЕННЯ (ПІДЗЕМНІ)",https://prozorro.sale/auction/LLE001-UA-20231130-56204
LLE001-UA-20231207-75675,"побутове обслуговування",https://prozorro.sale/auction/LLE001-UA-20231207-75675
